article_id,N_sentence,lstm_v_sent
111111112,1,0.00022033348999999999
111111112,2,0.43064222
111111112,3,0.00038796975
111111112,4,0.43064222
111111112,5,0.9998560999999999
111111112,6,0.43064222
111111112,7,1.0638026e-05
111111112,8,0.43064222
111111112,9,0.0007441264500000001
111111112,10,0.43064222
111111112,11,0.9994374
111111112,12,0.43064222
111111112,13,0.47240699999999997
111111112,14,0.9997898000000001
111111112,15,0.97306406
111111112,16,0.43064222
111111112,17,1.3114857e-05
111111112,18,0.43064222
111111112,19,0.19288489
111111112,20,0.47240699999999997
111111112,21,0.99086297
111111112,22,0.43064222
111111112,23,0.0007376134
111111112,24,0.43064222
111111112,25,0.99972266
111111112,26,0.43064222
111111112,27,0.8228378000000001
111111112,28,8.172815400000001e-05
111111112,29,0.43064222
111111112,30,0.7345182
111111112,31,0.00020764914
111111112,32,0.43064222
111111112,33,0.9995400999999999
111111112,34,0.43064222
111111112,35,0.017942006
111111112,36,0.02143515
111111112,37,0.43064222
111111112,38,0.0012502047
111111112,39,0.00038490293
111111112,40,0.7375476
111111112,41,0.43064222
111111112,42,0.0007732275999999999
111111112,43,0.43064222
111111112,44,0.0012407498
111111112,45,0.43064222
111111112,46,0.013883618
111111112,47,0.43064222
111111112,48,0.43064222
111111112,49,0.43064222
111111112,50,0.43064222
111111113,1,0.00085564784
111111113,2,0.43064222
111111113,3,0.9996860000000001
111111113,4,0.43064222
111111113,5,7.709582e-06
111111113,6,3.8122518e-05
111111113,7,0.43064222
111111113,8,5.797451e-06
111111113,9,2.095584e-05
111111113,10,0.43064222
111111113,11,1.3887911999999999e-05
111111113,12,0.999158
111111113,13,1.1422901e-05
111111113,14,0.43064222
111111113,15,3.2977473e-06
111111113,16,4.379413e-05
111111113,17,0.43064222
111111113,18,2.7871745e-05
111111113,19,3.699877e-05
111111113,20,0.43064222
111111113,21,4.5100816000000004e-05
111111113,22,0.43064222
111111113,23,0.007300099399999999
111111113,24,0.98371166
111111113,25,0.43064222
111111113,26,2.9223314e-05
111111113,27,0.0056503173
111111113,28,0.0038928567
111111113,29,0.43064222
111111113,30,0.99634105
111111113,31,0.9998142
111111113,32,0.43064222
111111113,33,2.9237422000000003e-06
111111113,34,2.9021129999999998e-05
111111113,35,0.43064222
111111113,36,6.814669e-06
111111113,37,4.3510892e-05
111111113,38,0.43064222
111111113,39,0.9907699000000001
111111113,40,0.0018719255
111111113,41,3.1526044e-05
111111113,42,0.43064222
111111113,43,0.002921467
111111113,44,0.43064222
111111113,45,0.99694437
111111113,46,0.97626925
111111113,47,0.3855254
111111113,48,0.8950546
111111113,49,0.43064222
111111113,50,6.780279400000001e-06
111111113,51,0.00025662984000000003
111111113,52,0.43064222
111111113,53,0.00010926636999999999
111111113,54,7.711176e-05
111111113,55,0.43064222
111111113,56,0.43064222
111111113,57,0.43064222
111111122,1,0.9995726999999999
111111122,2,0.43064222
111111122,3,6.941822e-05
111111122,4,0.99283916
111111122,5,0.9999130999999999
111111122,6,0.97308314
111111122,7,0.43064222
111111122,8,9.239981e-05
111111122,9,2.6848971e-05
111111122,10,0.43064222
111111122,11,0.05784901
111111122,12,0.99996924
111111122,13,0.016064556
111111122,14,0.00014481874
111111122,15,0.43064222
111111122,16,0.03598746
111111122,17,0.00040178237000000004
111111122,18,0.99995136
111111122,19,0.43064222
111111122,20,0.43064222
111111122,21,0.0011176468
111111122,22,8.915211e-06
111111122,23,0.0034370518
111111122,24,9.5477444e-05
111111122,25,0.0006068523000000001
111111122,26,0.014830555
111111122,27,0.00040018247000000003
111111122,28,0.43064222
111111122,29,0.43064222
111111122,30,0.43064222
111111122,31,0.00056206505
111111122,32,0.0005706825
111111122,33,5.5297758e-05
111111122,34,0.43064222
111111122,35,0.43064222
111111122,36,0.0007751911999999999
111111122,37,0.9993356
111111122,38,0.00042238264000000005
111111122,39,0.00034602472
111111122,40,0.00023216937999999998
111111122,41,0.43064222
111111122,42,0.99999654
111111122,43,0.020005794
111111122,44,0.43064222
111111122,45,0.9598165999999999
111111122,46,0.0003017572
111111122,47,0.43064222
111111122,48,0.009949323000000001
111111122,49,0.99827015
111111122,50,0.008418791
111111122,51,0.00033959674
111111122,52,0.9981452
111111122,53,0.43064222
111111122,54,0.0015159111999999998
111111122,55,0.028601373
111111122,56,0.00011234063999999999
111111122,57,0.985844
111111122,58,0.007008545600000001
111111122,59,0.43064222
111111122,60,0.99639446
111111122,61,0.99983096
111111122,62,0.43064222
111111122,63,3.9336770000000004e-05
111111122,64,0.0001492603
111111122,65,0.99707484
111111122,66,0.0027065109999999996
111111122,67,0.43064222
111111122,68,1.8507517000000002e-05
111111122,69,0.34134772
111111122,70,0.99226624
111111122,71,4.648170999999999e-05
111111122,72,0.0004359297
111111122,73,0.43064222
111111122,74,0.43064222
111111122,75,0.43064222
111111122,76,0.43064222
111111124,1,0.9959162
111111124,2,0.43064222
111111124,3,0.9998275
111111124,4,0.43064222
111111124,5,0.99959105
111111124,6,0.43064222
111111124,7,0.43064222
111111124,8,3.852923e-05
111111124,9,0.43064222
111111124,10,0.0015283332999999999
111111124,11,0.43064222
111111124,12,6.623399e-05
111111124,13,0.00012158882999999999
111111124,14,0.43064222
111111124,15,4.563717000000001e-05
111111124,16,0.43064222
111111124,17,0.00010800496
111111124,18,5.056360400000001e-06
111111124,19,0.0042890490000000005
111111124,20,0.43064222
111111124,21,0.84317803
111111124,22,0.43064222
111111124,23,0.9997689000000001
111111124,24,0.025431687
111111124,25,0.0018716138000000001
111111124,26,0.43064222
111111124,27,0.0010014337
111111124,28,0.99984276
111111124,29,0.43064222
111111124,30,0.9999738000000001
111111124,31,0.43064222
111111124,32,0.008743908
111111124,33,0.43064222
111111124,34,0.999907
111111124,35,0.43064222
111111124,36,0.9998839
111111124,37,0.9967494
111111124,38,0.43064222
111111124,39,0.99241805
111111124,40,0.43064222
111111124,41,0.9995697
111111124,42,0.00030061777
111111124,43,0.43064222
111111124,44,0.43064222
111111124,45,0.43064222
111111124,46,0.43064222
111111131,1,3.9595445e-05
111111131,2,0.43064222
111111131,3,0.9944758
111111131,4,0.43064222
111111131,5,0.99999297
111111131,6,0.012632673
111111131,7,0.001150705
111111131,8,0.99987245
111111131,9,0.45673218
111111131,10,0.78026146
111111131,11,1.7943501e-05
111111131,12,0.7365891999999999
111111131,13,0.87842745
111111131,14,0.9980288
111111131,15,4.49142e-05
111111131,16,0.0061083909999999995
111111131,17,0.00019717825
111111131,18,0.00085380115
111111131,19,0.00023980254000000002
111111131,20,0.0007712168
111111131,21,0.99696416
111111131,22,0.004938822
111111131,23,0.015011363
111111131,24,0.08602043
111111131,25,0.99941325
111111131,26,0.00043587769999999996
111111131,27,0.9981026
111111131,28,0.7366473000000001
111111131,29,2.0483667e-05
111111131,30,0.0026812814000000003
111111131,31,0.00096468366
111111131,32,0.99974984
111111131,33,0.9965581
111111131,34,0.0001991197
111111131,35,0.8971094999999999
111111131,36,0.0031380039
111111131,37,0.99986863
111111131,38,0.004218155
111111131,39,0.07503601
111111131,40,0.9996363000000001
111111131,41,0.9797524
111111131,42,0.9999937
111111131,43,0.98002553
111111131,44,0.9991542
111111131,45,0.0069197780000000006
111111131,46,0.0018197692000000002
111111131,47,0.9987575000000001
111111131,48,0.991302
111111131,49,0.95174164
111111131,50,0.007011399999999999
111111131,51,9.996881999999999e-05
111111131,52,0.00020668421000000003
111111131,53,0.73246676
111111131,54,0.7684510999999999
111111131,55,0.0005223595
111111131,56,0.8451890999999999
111111131,57,0.025324184
111111131,58,0.00042551607
111111131,59,5.4796815000000005e-06
111111131,60,0.00037192540000000003
111111131,61,0.001036697
111111131,62,0.0002275034
111111131,63,0.9979906999999999
111111131,64,4.9923812e-05
111111131,65,0.015401165
111111131,66,0.009701286
111111131,67,0.99872833
111111131,68,5.4194140000000006e-05
111111131,69,0.9999994000000001
111111131,70,0.43064222
111111131,71,0.43064222
111111131,72,0.43064222
111111131,73,0.43064222
111111132,1,0.010238135
111111132,2,0.43064222
111111132,3,0.5004411
111111132,4,0.8315768
111111132,5,0.98681134
111111132,6,0.86667395
111111132,7,0.9088108
111111132,8,0.22473854
111111132,9,0.43064222
111111132,10,0.08251794400000001
111111132,11,0.43064222
111111132,12,0.9639757999999999
111111132,13,0.12887461
